company,year,energy_consumption,female_employees,ghg_scope_1,ghg_scope_2,living_wage_policy,modern_slavery_statement,total_waste_generated,total_waste_recycled,water_withdrawals,total_employees,supplier_list,supplied_by,address
BlackRock,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Advisors (UK) Ltd.,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Advisors (UK) Ltd.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Advisors (UK) Ltd.,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Advisors (UK) Ltd.,2022,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Asset Management North Asia Ltd.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Brasil Gestora de Investimentos Ltda.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Fund Advisors,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Investment Management (UK) Ltd.,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Investment Management (UK) Ltd.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Investment Management (UK) Ltd.,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock Investment Management (UK) Ltd.,2022,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BlackRock LLC,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Body Essence,2020,,,,,,No - neither,,,,,,,
Bogari Gestao de Investimentos Ltda.,2020,,,,,,No - neither,,,,,,,
Boohoo.com,2017,,,246,,,,,,,,,,
Boohoo.com,2018,,,421,,,,,,,,,,
Boohoo.com,2019,,1302,487,2928,No Living Wage Policy,,,,,,,,
Boohoo.com,2020,,1558,498,,Living Wage mentioned,,,,,,,,
Boohoo.com,2021,,1950,498,,,,,,,,,,
Boohoo.com,2022,,3240,660,4353,Living Wage mentioned,,99,,,,,,
Boohoo.com,2023,,3600,,,,,,,,,,,
Boot Barn Holdings Inc.,2019,,,,,No Living Wage Policy,,,,,,,,
Bosideng International Holdings Limited,2017,15048.69168,,,,,,,,,,,,
Bosideng International Holdings Limited,2018,7603.92,3110,,,No Living Wage Policy,,169.513,,115000000,6409,,,
Bosideng International Holdings Limited,2019,11314.08,4220,,,No Living Wage Policy,,168.75,,119000000,,,,
Bosideng International Holdings Limited,2020,,4220,,,,,,,,,No,,
Bosideng International Holdings Limited,2022,198755.28,8055,117.7,31228.5,,,10872.9,,,10118,,,
Bosideng International Holdings Limited,2023,300146.04,9546,140.9,45574,Living Wage Methodology described,,9623.68,,347000,,,,
Brandes Investment Partners LP,2020,,,,,,No - neither,,,,,,,
Bridgeway Capital Management,2020,,,,,,No - neither,,,,,,,
Brunello Cucinelli,2016,47633,,1361,2760,,,,,,,No,,
Brunello Cucinelli,2017,37162,,1608,3138,,,799.5,,,,No,,
Brunello Cucinelli,2018,41836,,1813,3626,,,856.81,,,,No,,
Brunello Cucinelli,2019,64862,1314.3,1845,3778,No Living Wage Policy,,1006.4,,50223000,,No,,
Brunello Cucinelli,2021,66378,1440,1468,6836,,,625,444,,2160,,,
Brunello Cucinelli,2023,80999,1835,1682,3696,No Living Wage Policy,,547.58,508.6,3.5,,,,
Buckle Inc,2019,,,,,No Living Wage Policy,,,,,,,,
"Buckle Inc,2021,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,,,,,""2407 W 24TH ST, KEARNEY, 68847""",nan,,,,,,,,,,,,,
Buckle Inc,2022,,,,,,,,,,9100,,,
Buckle Inc,2023,,,,,,,,,,9000,,,
Burberry Group plc,2004,,,,,,,,,,4131,,,
Burberry Group plc,2005,,,,,,,,,,4651,,,
Burberry Group plc,2006,,,,,,,,,,5218,,,
Burberry Group plc,2007,,,,,,,,,,5660,,,
Burberry Group plc,2008,,,,,,,,,,6208,,,
Burberry Group plc,2009,,,,,,,,,,5608,,,
Burberry Group plc,2010,,,,,,,,,,6681,,,
Burberry Group plc,2011,,,,,,,,,,7991,,,
Burberry Group plc,2012,,,,,,,,,,8867,,,
Burberry Group plc,2013,,7253,,,,,,,,9698,,,
Burberry Group plc,2014,,7457,,,,,,,,10309,,,
Burberry Group plc,2015,,7164,,,,,,,,10181,,,
Burberry Group plc,2016,,,,,,,,,,9828,,,
Burberry Group plc,2017,306543.04,6806,2128.3,33839.522,,,,,,9752,,,
Burberry Group plc,2018,296313.11,6806,2144.1,32072.001,Living Wage mentioned,,,,,10332,,,
Burberry Group plc,2019,275671.34,6870,2096.267,29111.338,Living Wage mentioned,,,,,,,,
Burberry Group plc,2022,261173.1924,6254,,,Living Wage Achieved,,,,,9293,,,Horseferry House Horseferry Road London SW1P 2AW
Burberry Group plc,2023,202545.41,6129,1667,37051,Living Wage Achieved,,,,,8868,,,Horseferry House Horseferry Road London SW1P 2AW
Burberry Group plc,2024,,,,,Living Wage Achieved,,,,,,,,
Burlington Stores Inc,2018,1832400,33000,12386,203343,No Living Wage Policy,,88539.19,48821,736830.4037556,44000,,,
Burlington Stores Inc,2019,1663200,35250,24793,167929,No Living Wage Policy,,85316,49100,810683.78766144,,,,
Burlington Stores Inc,2020,432800,,35077,139899,,,,57685,,,No,,
"Burlington Stores Inc,2021,618685,46018,35094,157435,Unknown,,120300,64817,Unknown,,,,""1830 ROUTE 130 NORTH, BURLINGTON, 08016""",nan,,,,,,,,,,,,,
Burlington Stores Inc,2022,2.339,46172,38806,341766,,,106571.527,60570.004,,62395,,,
Burlington Stores Inc,2023,2338646.4,51866,39715,158233,Living Wage Methodology described,,133956,83052.72,2279541.38,61166,,,
CAPFI DELEN Asset Management NV,2020,,,,,,No - neither,,,,,,,
CAPFI DELEN Asset Management SA,2020,,,,,,No - neither,,,,,,,
CI Investments Inc.,2020,,,,,,No - neither,,,,,,,
CITIGROUP GLOBAL MARKETS HOLDINGS INC.,2020,,,,,,Yes - Australian Modern Slavery Act,,,,,,,
Caisse de Depot et Placement du Quebec,2020,,,,,,Yes - Australian Modern Slavery Act,,,,,,,
Caleres Inc,2019,,,,,No Living Wage Policy,,,,,,,,
Caleres Inc,2023,381260,5608,5250,38950,No Living Wage Policy,,10400,6858,152211.3361,,,,
Camelot Capital Partners LLC,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canaccord Genuity Limited,2015,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canaccord Genuity Limited,2016,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canaccord Genuity Limited,2017,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canaccord Genuity Limited,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canaccord Genuity Limited,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canaccord Genuity Limited,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canada Goose,2019,,,2160,1113,No Living Wage Policy,,,,,,,,
Canada Goose,2020,,,,,,,,,,,No,,
Canada Goose,2021,,2666,,,,,,,,3590,,,
Canada Goose,2022,,3569,2407,1794,,,,,,4745,,,
Canada Goose,2023,,3302,1976,2461,No Living Wage Policy,,,1.75,,5053,,,
Canada Pension Plan Investment Board,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Canara Robeco Asset Management Co. Ltd.,2020,,,,,,No - neither,,,,,,,
CapFinancial Partners LLC,2020,,,,,,No - neither,,,,,,,
Capital International Investors,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital International Ltd.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital Research & Management Co. (Global Investors),2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital Research & Management Co. (International Investors),2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital Research & Management Co. (World Investors),2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital Research & Management Co. (World Investors),2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital Research Global Investors,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital Research and Management Company,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capital World Investors,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Capri Holdings Ltd (formerly Michael Kors),2019,,,,,No Living Wage Policy,,,,,,,,
Capri Holdings Ltd (formerly Michael Kors),2020,,12925,,,,,40275,,,,No,,
Capri Holdings Ltd (formerly Michael Kors),2021,,10074,29679,,,,,,,13800,,,
