Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
American Eagle Outfitters,2022,743654.5488,32232,12343,45476,Living Wage mentioned,NA,29000,NA,NA,40800,NA,1,NA
American International Group,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Ameriprise Financial,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Amundi,2017,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Amundi,2019,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Amundi,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Amundi,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Amundi,2023,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Amundi,2024,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Amundi SGR SpA,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Anatole Investment Management Ltd.,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Ancora Advisors LLC,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Anta Sports Products,2016,NA,NA,12327,53286,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anta Sports Products,2017,NA,NA,14560,53091,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anta Sports Products,2018,NA,16000,7019,77283,No Living Wage Policy,NA,2313.7728,NA,1677971,25000,NA,NA,NA
Anta Sports Products,2019,658691.80531,21067,15298,88358,No Living Wage Policy,NA,2463.528,NA,1912097,NA,NA,NA,NA
Anta Sports Products,2020,662819,29930,NA,NA,NA,NA,2377,3272.96,NA,NA,No,NA,NA
Anta Sports Products,2022,1215730.8,44309,4820,178794,NA,NA,1255.4,NA,NA,59000,NA,NA,NA
Anta Sports Products,2023,1327572,45496,8525,191654,Living Wage mentioned,NA,11940.1,NA,1517270,NA,NA,NA,NA
Antipodes Partners Ltd.,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
